TIME	CALLS	PUTS	TOTAL	P/C RATIO
2026-06-01 09:00:00	106532	114163	220695	1.07
2026-06-01 09:30:00	248351	248442	496793	1.0
2026-06-01 10:00:00	307835	342715	650550	1.11
2026-06-01 10:30:00	363891	425371	789262	1.17
2026-06-01 11:00:00	414374	491060	905434	1.19
2026-06-01 11:30:00	460195	548091	1008286	1.19
2026-06-01 12:00:00	517068	615571	1132639	1.19
2026-06-01 12:30:00	571244	667789	1239033	1.17
2026-06-01 13:00:00	658550	770142	1428692	1.17
2026-06-01 13:30:00	702149	818478	1520627	1.17
2026-06-01 14:00:00	764355	878001	1642356	1.15
2026-06-01 14:30:00	838461	948602	1787063	1.13
2026-06-01 15:00:00	1086908	1098373	2185281	1.01
2026-06-01 15:15:00	1132204	1163327	2295531	1.03
2026-05-29 09:00:00	726417	388797	1115214	0.54
2026-05-29 09:30:00	1007449	771754	1779203	0.77
2026-05-29 10:00:00	1432653	1111696	2544349	0.78
2026-05-29 10:30:00	1708509	1314139	3022648	0.77
2026-05-29 11:00:00	1811263	1459161	3270424	0.81
2026-05-29 11:30:00	1968231	1604421	3572652	0.82
2026-05-29 12:00:00	2142167	1749633	3891800	0.82
2026-05-29 12:30:00	2301886	1873743	4175629	0.81
2026-05-29 13:00:00	2518531	2047662	4566193	0.81
2026-05-29 13:30:00	2743174	2203020	4946194	0.8
2026-05-29 14:00:00	2903210	2363411	5266621	0.81
2026-05-29 14:30:00	3059327	2539238	5598565	0.83
2026-05-29 15:00:00	3435297	2846569	6281866	0.83
2026-05-29 15:15:00	3467101	2896946	6364047	0.84
2026-05-28 09:00:00	101166	155358	256524	1.54
2026-05-28 09:30:00	249803	319403	569206	1.28
2026-05-28 10:00:00	429763	438122	867885	1.02
2026-05-28 10:30:00	486883	535372	1022255	1.1
2026-05-28 11:00:00	540501	626732	1167233	1.16
2026-05-28 11:30:00	697226	687273	1384499	0.99
2026-05-28 12:00:00	730255	745340	1475595	1.02
2026-05-28 12:30:00	776258	832588	1608846	1.07
2026-05-28 13:00:00	840114	887584	1727698	1.06
2026-05-28 13:30:00	881621	948769	1830390	1.08
2026-05-28 14:00:00	969801	1003241	1973042	1.03
2026-05-28 14:30:00	1050342	1131326	2181668	1.08
2026-05-28 15:00:00	1163353	1324912	2488265	1.14
2026-05-28 15:15:00	1199072	1379720	2578792	1.15
2026-05-27 09:00:00	74637	158147	232784	2.12
2026-05-27 09:30:00	132638	234107	366745	1.77
2026-05-27 10:00:00	245210	293028	538238	1.2
2026-05-27 10:30:00	297087	352625	649712	1.19
2026-05-27 11:00:00	326413	410104	736517	1.26
2026-05-27 11:30:00	379501	438607	818108	1.16
2026-05-27 12:00:00	422612	499082	921694	1.18
2026-05-27 12:30:00	453675	549106	1002781	1.21
2026-05-27 13:00:00	492556	607488	1100044	1.23
2026-05-27 13:30:00	572244	691625	1263869	1.21
2026-05-27 14:00:00	630939	748247	1379186	1.19
2026-05-27 14:30:00	719392	826594	1545986	1.15
2026-05-27 15:00:00	815727	949488	1765215	1.16
2026-05-27 15:15:00	847451	998060	1845511	1.18
2026-05-26 09:00:00	132624	267140	399764	2.01
2026-05-26 09:30:00	232067	371307	603374	1.6
2026-05-26 10:00:00	306578	506792	813370	1.65
2026-05-26 10:30:00	411105	630763	1041868	1.53
2026-05-26 11:00:00	496097	709988	1206085	1.43
2026-05-26 11:30:00	551203	781733	1332936	1.42
2026-05-26 12:00:00	589226	835903	1425129	1.42
2026-05-26 12:30:00	638032	889103	1527135	1.39
2026-05-26 13:00:00	666217	934138	1600355	1.4
2026-05-26 13:30:00	723201	1032036	1755237	1.43
2026-05-26 14:00:00	872379	1108932	1981311	1.27
2026-05-26 14:30:00	931723	1179716	2111439	1.27
2026-05-26 15:00:00	1037393	1325638	2363031	1.28
2026-05-26 15:15:00	1075104	1374380	2449484	1.28
2026-05-25 09:00:00	47166	62031	109197	1.32
2026-05-25 09:30:00	51005	64475	115480	1.26
2026-05-25 10:00:00	53072	65966	119038	1.24
2026-05-25 10:30:00	57034	68948	125982	1.21
2026-05-25 11:00:00	57034	68948	125982	1.21
2026-05-25 11:30:00	57034	68948	125982	1.21
2026-05-25 12:00:00	57034	68948	125982	1.21
2026-05-25 12:30:00	57034	68948	125982	1.21
2026-05-25 13:00:00	57034	68948	125982	1.21
2026-05-25 13:30:00	57034	68948	125982	1.21
2026-05-25 14:00:00	57034	68948	125982	1.21
2026-05-25 14:30:00	57034	68948	125982	1.21
2026-05-25 15:00:00	57034	68948	125982	1.21
2026-05-25 15:15:00	57034	68948	125982	1.21
2026-05-22 09:00:00	337547	390007	727554	1.16
2026-05-22 09:30:00	586614	733875	1320489	1.25
2026-05-22 10:00:00	759930	948755	1708685	1.25
2026-05-22 10:30:00	934467	1200434	2134901	1.28
2026-05-22 11:00:00	1057351	1304140	2361491	1.23
