TIME	CALLS	PUTS	TOTAL	P/C RATIO
2026-06-08 09:00:00	510373	305366	815739	0.6
2026-06-08 09:30:00	791026	477166	1268192	0.6
2026-06-08 10:00:00	1061696	618340	1680036	0.58
2026-06-08 10:30:00	1273674	753166	2026840	0.59
2026-06-08 11:00:00	1444178	862429	2306607	0.6
2026-06-08 11:30:00	1601827	941845	2543672	0.59
2026-06-08 12:00:00	1748370	1030680	2779050	0.59
2026-06-08 12:30:00	1902217	1113269	3015486	0.59
2026-06-08 13:00:00	2033842	1191343	3225185	0.59
2026-06-08 13:30:00	2178424	1259777	3438201	0.58
2026-06-08 14:00:00	2354588	1391130	3745718	0.59
2026-06-08 14:30:00	2511182	1539989	4051171	0.61
2026-06-08 15:00:00	2710933	1667955	4378888	0.62
2026-06-08 15:15:00	2725611	1683610	4409221	0.62
2026-06-05 09:00:00	764441	582776	1347217	0.76
2026-06-05 09:30:00	1352304	996656	2348960	0.74
2026-06-05 10:00:00	1770170	1304578	3074748	0.74
2026-06-05 10:30:00	2211821	1582903	3794724	0.72
2026-06-05 11:00:00	2587424	1879276	4466700	0.73
2026-06-05 11:30:00	2978659	2188016	5166675	0.73
2026-06-05 12:00:00	3359415	2542881	5902296	0.76
2026-06-05 12:30:00	3654661	2775573	6430234	0.76
2026-06-05 13:00:00	3942884	3000519	6943403	0.76
2026-06-05 13:30:00	4296832	3313663	7610495	0.77
2026-06-05 14:00:00	4679990	3713816	8393806	0.79
2026-06-05 14:30:00	5095234	4139326	9234560	0.81
2026-06-05 15:00:00	5539248	4644803	10184051	0.84
2026-06-05 15:15:00	5579006	4692517	10271523	0.84
2026-06-04 09:00:00	564181	312785	876966	0.55
2026-06-04 09:30:00	972206	543961	1516167	0.56
2026-06-04 10:00:00	1274071	698907	1972978	0.55
2026-06-04 10:30:00	1552622	866930	2419552	0.56
2026-06-04 11:00:00	1786863	994545	2781408	0.56
2026-06-04 11:30:00	1978702	1104142	3082844	0.56
2026-06-04 12:00:00	2170330	1209880	3380210	0.56
