TIME	CALLS	PUTS	TOTAL	P/C RATIO
2026-01-05 15:00:00	5534295	4675543	10209838	0.84
2026-01-05 15:15:00	5605389	4729556	10334945	0.84
2026-01-02 09:00:00	796528	609679	1406207	0.77
2026-01-02 09:30:00	1466125	1215176	2681301	0.83
2026-01-02 10:00:00	1998576	1680872	3679448	0.84
2026-01-02 10:30:00	2446701	2075505	4522206	0.85
2026-01-02 11:00:00	2825506	2401928	5227434	0.85
2026-01-02 11:30:00	3186300	2625096	5811396	0.82
2026-01-02 12:00:00	3544300	2890679	6434979	0.82
2026-01-02 12:30:00	3823194	3112001	6935195	0.81
2026-01-02 13:00:00	4112324	3350025	7462349	0.81
2026-01-02 13:30:00	4631934	3667764	8299698	0.79
2026-01-02 14:00:00	5020148	4010319	9030467	0.8
2026-01-02 14:30:00	5344626	4308100	9652726	0.81
2026-01-02 15:00:00	5860055	4789776	10649831	0.82
2026-01-02 15:15:00	5908733	4867952	10776685	0.82
