TIME	CALLS	PUTS	TOTAL	P/C RATIO
2025-03-13 09:00:00	324004	201994	525998	0.62
2025-03-13 09:30:00	616501	392131	1008632	0.64
2025-03-13 10:00:00	775708	509201	1284909	0.66
2025-03-13 10:30:00	912992	630317	1543309	0.69
2025-03-13 11:00:00	1064286	778659	1842945	0.73
2025-03-13 11:30:00	1182876	858431	2041307	0.73
2025-03-13 12:00:00	1319192	970698	2289890	0.74
2025-03-13 12:30:00	1452244	1063879	2516123	0.73
2025-03-13 13:00:00	1569945	1359017	2928962	0.87
2025-03-13 13:30:00	1782908	1948273	3731181	1.09
2025-03-13 14:00:00	1997237	2335977	4333214	1.17
2025-03-13 14:30:00	2170668	2448319	4618987	1.13
2025-03-13 15:00:00	2368504	2603120	4971624	1.1
2025-03-13 15:15:00	2386400	2615177	5001577	1.1
2025-03-12 09:00:00	447918	264134	712052	0.59
2025-03-12 09:30:00	703238	450551	1153789	0.64
2025-03-12 10:00:00	918461	900954	1819415	0.98
2025-03-12 10:30:00	1156548	1114093	2270641	0.96
2025-03-12 11:00:00	1296414	1263884	2560298	0.97
2025-03-12 11:30:00	1445555	1370594	2816149	0.95
2025-03-12 12:00:00	1607261	1461523	3068784	0.91
2025-03-12 12:30:00	1726660	1536207	3262867	0.89
2025-03-12 13:00:00	1859847	1634171	3494018	0.88
2025-03-12 13:30:00	1966146	1732213	3698359	0.88
2025-03-12 14:00:00	2076930	1816900	3893830	0.87
2025-03-12 14:30:00	2217509	1899515	4117024	0.86
2025-03-12 15:00:00	2412613	2014717	4427330	0.84
2025-03-12 15:15:00	2426126	2029301	4455427	0.84
2025-03-11 09:00:00	360322	244515	604837	0.68
2025-03-11 09:30:00	649674	462584	1112258	0.71
2025-03-11 10:00:00	876172	673674	1549846	0.77
2025-03-11 10:30:00	1042656	832972	1875628	0.8
2025-03-11 11:00:00	1181326	928141	2109467	0.79
2025-03-11 11:30:00	1317484	1031588	2349072	0.78
2025-03-11 12:00:00	1509102	1294474	2803576	0.86
2025-03-11 12:30:00	1643508	1511510	3155018	0.92
2025-03-11 13:00:00	1790555	1637780	3428335	0.91
2025-03-11 13:30:00	1940725	1799604	3740329	0.93
2025-03-11 14:00:00	2130978	1959355	4090333	0.92
2025-03-11 14:30:00	2355531	2070987	4426518	0.88
2025-03-11 15:00:00	2555441	2193820	4749261	0.86
2025-03-11 15:15:00	2570768	2226660	4797428	0.87
2025-03-10 09:00:00	358645	219016	577661	0.61
2025-03-10 09:30:00	632705	459386	1092091	0.73
2025-03-10 10:00:00	951933	658891	1610824	0.69
2025-03-10 10:30:00	1166663	806627	1973290	0.69
2025-03-10 11:00:00	1358715	932367	2291082	0.69
2025-03-10 11:30:00	1552973	1081884	2634857	0.7
2025-03-10 12:00:00	1686058	1162113	2848171	0.69
2025-03-10 12:30:00	1877117	1270918	3148035	0.68
2025-03-10 13:00:00	2101125	1427598	3528723	0.68
2025-03-10 13:30:00	2253287	1559337	3812624	0.69
2025-03-10 14:00:00	2409068	1695103	4104171	0.7
2025-03-10 14:30:00	2612818	1900502	4513320	0.73
2025-03-10 15:00:00	2806977	2044284	4851261	0.73
2025-03-10 15:15:00	2825865	2068163	4894028	0.73
2025-03-07 09:00:00	448733	307688	756421	0.69
2025-03-07 09:30:00	728955	511859	1240814	0.7
2025-03-07 10:00:00	1066013	747139	1813152	0.7
2025-03-07 10:30:00	1269928	924966	2194894	0.73
2025-03-07 11:00:00	1526162	1158834	2684996	0.76
2025-03-07 11:30:00	1751230	1346632	3097862	0.77
2025-03-07 12:00:00	2030123	1542015	3572138	0.76
2025-03-07 12:30:00	2224103	1688521	3912624	0.76
2025-03-07 13:00:00	2494245	1830560	4324805	0.73
2025-03-07 13:30:00	2719584	1984495	4704079	0.73
2025-03-07 14:00:00	2932417	2120213	5052630	0.72
2025-03-07 14:30:00	3173921	2299384	5473305	0.72
2025-03-07 15:00:00	3546515	2525907	6072422	0.71
2025-03-07 15:15:00	3566176	2548524	6114700	0.71
2025-03-06 09:00:00	411999	311839	723838	0.76
2025-03-06 09:30:00	682308	505171	1187479	0.74
2025-03-06 10:00:00	873766	662784	1536550	0.76
2025-03-06 10:30:00	1062415	766598	1829013	0.72
2025-03-06 11:00:00	1218190	890508	2108698	0.73
2025-03-06 11:30:00	1408634	1077741	2486375	0.77
2025-03-06 12:00:00	1559723	1227121	2786844	0.79
2025-03-06 12:30:00	1723431	1348397	3071828	0.78
2025-03-06 13:00:00	1865454	1475052	3340506	0.79
2025-03-06 13:30:00	2024696	1603014	3627710	0.79
2025-03-06 14:00:00	2293389	1760880	4054269	0.77
2025-03-06 14:30:00	2438309	1885386	4323695	0.77
2025-03-06 15:00:00	2670219	2040437	4710656	0.76
2025-03-06 15:15:00	2686563	2097936	4784499	0.78
2025-03-05 09:00:00	300667	196292	496959	0.65
2025-03-05 09:30:00	477846	339019	816865	0.71
2025-03-05 10:00:00	711010	427166	1138176	0.6
2025-03-05 10:30:00	849940	562356	1412296	0.66
2025-03-05 11:00:00	976962	673739	1650701	0.69
2025-03-05 11:30:00	1361063	966153	2327216	0.71
2025-03-05 12:00:00	1578626	1097284	2675910	0.7
2025-03-05 12:30:00	1721304	1221263	2942567	0.71
2025-03-05 13:00:00	1914878	1309577	3224455	0.68
2025-03-05 13:30:00	2171326	1444891	3616217	0.67
2025-03-05 14:00:00	2317829	1550125	3867954	0.67
2025-03-05 14:30:00	2136872	1339669	3476541	0.63
2025-03-05 15:00:00	2365463	1472081	3837544	0.62
2025-03-05 15:15:00	2776794	1886273	4663067	0.68
2025-03-04 09:00:00	343191	336322	679513	0.98
2025-03-04 09:30:00	643140	701484	1344624	1.09
2025-03-04 10:00:00	930215	894536	1824751	0.96
2025-03-04 10:30:00	1099456	1037018	2136474	0.94
2025-03-04 11:00:00	1321700	1167487	2489187	0.88
2025-03-04 11:30:00	1466722	1283113	2749835	0.87
2025-03-04 12:00:00	1626859	1376059	3002918	0.85
2025-03-04 12:30:00	2001657	1773857	3775514	0.89
2025-03-04 13:00:00	2163129	1901630	4064759	0.88
2025-03-04 13:30:00	2352212	2025902	4378114	0.86
2025-03-04 14:00:00	2496896	2144068	4640964	0.86
2025-03-04 14:30:00	2442035	1881356	4323391	0.77
2025-03-04 15:00:00	2599479	2045815	4645294	0.79
2025-03-04 15:15:00	2612142	2075628	4687770	0.79
2025-03-03 09:00:00	463545	316558	780103	0.68
2025-03-03 09:30:00	746708	509336	1256044	0.68
2025-03-03 10:00:00	953420	656210	1609630	0.69
2025-03-03 10:30:00	1119529	791057	1910586	0.71
2025-03-03 11:00:00	1265368	894989	2160357	0.71
2025-03-03 11:30:00	1373208	989230	2362438	0.72
2025-03-03 12:00:00	1508250	1091603	2599853	0.72
2025-03-03 12:30:00	1693399	1288196	2981595	0.76
2025-03-03 13:00:00	1851435	1430360	3281795	0.77
2025-03-03 13:30:00	1969069	1531781	3500850	0.78
2025-03-03 14:00:00	2133697	1712419	3846116	0.8
2025-03-03 14:30:00	2442175	2031811	4473986	0.83
2025-03-03 15:00:00	2752481	2357702	5110183	0.86
2025-03-03 15:15:00	2768358	2375277	5143635	0.86
2025-02-28 09:00:00	649599	549684	1199283	0.85
2025-02-28 09:30:00	1254147	899277	2153424	0.72
2025-02-28 10:00:00	1666714	1156478	2823192	0.69
