TIME	CALLS	PUTS	TOTAL	P/C RATIO
2025-06-03 09:00:00	406260	298953	705213	0.74
2025-06-03 09:30:00	765613	860373	1625986	1.12
2025-06-03 10:00:00	1041005	1093429	2134434	1.05
2025-06-03 10:30:00	1303835	1348455	2652290	1.03
2025-06-03 11:00:00	1520245	1652683	3172928	1.09
2025-06-03 11:30:00	1724823	1835341	3560164	1.06
2025-06-03 12:00:00	1923492	1980900	3904392	1.03
2025-06-03 12:30:00	2091860	2100109	4191969	1.0
2025-06-03 13:00:00	2276306	2274851	4551157	1.0
2025-06-03 13:30:00	2529180	2445244	4974424	0.97
2025-06-03 14:00:00	2687151	2543536	5230687	0.95
2025-06-03 14:30:00	2905655	2681273	5586928	0.92
2025-06-03 15:00:00	3199709	2915219	6114928	0.91
2025-06-03 15:15:00	3235122	2962960	6198082	0.92
2025-06-02 09:00:00	536702	351283	887985	0.65
2025-06-02 09:30:00	834021	574650	1408671	0.69
2025-06-02 10:00:00	1110422	757179	1867601	0.68
2025-06-02 10:30:00	1337042	929951	2266993	0.7
2025-06-02 11:00:00	1499863	1064124	2563987	0.71
2025-06-02 11:30:00	1655265	1207539	2862804	0.73
2025-06-02 12:00:00	1867216	1324214	3191430	0.71
2025-06-02 12:30:00	1999123	1425130	3424253	0.71
2025-06-02 13:00:00	2131875	1538789	3670664	0.72
2025-06-02 13:30:00	2329587	1710393	4039980	0.73
2025-06-02 14:00:00	2514883	1872745	4387628	0.74
2025-06-02 14:30:00	2691883	2051194	4743077	0.76
2025-06-02 15:00:00	2996360	2295858	5292218	0.77
2025-06-02 15:15:00	3058502	2371746	5430248	0.78
2025-05-30 09:00:00	613349	617352	1230701	1.01
2025-05-30 09:30:00	1116661	1007791	2124452	0.9
2025-05-30 10:00:00	1616798	1392459	3009257	0.86
2025-05-30 10:30:00	1951371	1664140	3615511	0.85
2025-05-30 11:00:00	2247316	1964168	4211484	0.87
2025-05-30 11:30:00	2576307	2391574	4967881	0.93
2025-05-30 12:00:00	3092551	2846101	5938652	0.92
2025-05-30 12:30:00	3404936	3093061	6497997	0.91
2025-05-30 13:00:00	3644702	3304559	6949261	0.91
2025-05-30 13:30:00	4039844	3588910	7628754	0.89
2025-05-30 14:00:00	4318291	3831005	8149296	0.89
2025-05-30 14:30:00	4795658	4199381	8995039	0.88
2025-05-30 15:00:00	5505807	4668587	10174394	0.85
2025-05-30 15:15:00	5569489	4764793	10334282	0.86
2025-05-29 09:00:00	886064	435006	1321070	0.49
2025-05-29 09:30:00	1250791	699083	1949874	0.56
2025-05-29 10:00:00	1536765	861444	2398209	0.56
2025-05-29 10:30:00	1723473	1033205	2756678	0.6
2025-05-29 11:00:00	1993232	1180571	3173803	0.59
2025-05-29 11:30:00	2165585	1296061	3461646	0.6
2025-05-29 12:00:00	2335684	1418945	3754629	0.61
2025-05-29 12:30:00	2472437	1517544	3989981	0.61
2025-05-29 13:00:00	2647189	1620013	4267202	0.61
2025-05-29 13:30:00	2834591	1741493	4576084	0.61
2025-05-29 14:00:00	3028958	1860612	4889570	0.61
2025-05-29 14:30:00	3219554	1997765	5217319	0.62
2025-05-29 15:00:00	3497521	2231284	5728805	0.64
2025-05-29 15:15:00	3530266	2269792	5800058	0.64
2025-05-28 09:00:00	460050	312271	772321	0.68
2025-05-28 09:30:00	872119	584844	1456963	0.67
2025-05-28 10:00:00	1105363	734010	1839373	0.66
2025-05-28 10:30:00	1333615	871618	2205233	0.65
2025-05-28 11:00:00	1511457	995688	2507145	0.66
2025-05-28 11:30:00	1691176	1115871	2807047	0.66
2025-05-28 12:00:00	1857207	1207996	3065203	0.65
2025-05-28 12:30:00	2020357	1314365	3334722	0.65
2025-05-28 13:00:00	2203106	1433059	3636165	0.65
2025-05-28 13:30:00	2377928	1549338	3927266	0.65
