TIME	CALLS	PUTS	TOTAL	P/C RATIO
2023-12-29 09:00:00	410620	294926	705546	0.72
2023-12-29 09:30:00	770827	533243	1304070	0.69
2023-12-29 10:00:00	1150962	949244	2100206	0.82
2023-12-29 10:30:00	1534623	1363338	2897961	0.89
2023-12-29 11:00:00	1800248	1624945	3425193	0.9
2023-12-29 11:30:00	2047960	1857410	3905370	0.91
2023-12-29 12:00:00	2221054	2023255	4244309	0.91
2023-12-29 12:30:00	2402918	2194929	4597847	0.91
2023-12-29 13:00:00	2595752	2365896	4961648	0.91
2023-12-29 13:30:00	2875737	2663979	5539716	0.93
2023-12-29 14:00:00	3072783	2978817	6051600	0.97
2023-12-29 14:30:00	3351827	3224124	6575951	0.96
2023-12-29 15:00:00	3716094	3621127	7337221	0.97
2023-12-29 15:15:00	3771817	3725221	7497038	0.99
2023-12-28 09:00:00	512070	395604	907674	0.77
2023-12-28 09:30:00	839325	641106	1480431	0.76
2023-12-28 10:00:00	1165808	883854	2049662	0.76
2023-12-28 10:30:00	1432506	1112516	2545022	0.78
2023-12-28 11:00:00	1653735	1267620	2921355	0.77
2023-12-28 11:30:00	1788896	1413131	3202027	0.79
2023-12-28 12:00:00	1983574	1589952	3573526	0.8
2023-12-28 12:30:00	2174519	1762044	3936563	0.81
2023-12-28 13:00:00	2322583	1936146	4258729	0.83
2023-12-28 13:30:00	2476966	2082193	4559159	0.84
2023-12-28 14:00:00	2647873	2262149	4910022	0.85
2023-12-28 14:30:00	2918683	2714449	5633132	0.93
2023-12-28 15:00:00	3217817	3009236	6227053	0.94
2023-12-28 15:15:00	3427363	3075282	6502645	0.9
2023-12-27 09:00:00	610401	353731	964132	0.58
2023-12-27 09:30:00	989762	688966	1678728	0.7
2023-12-27 10:00:00	1273736	912986	2186722	0.72
2023-12-27 10:30:00	1506457	1080157	2586614	0.72
2023-12-27 11:00:00	1707195	1251257	2958452	0.73
2023-12-27 11:30:00	1879598	1385779	3265377	0.74
2023-12-27 12:00:00	2072917	1539042	3611959	0.74
2023-12-27 12:30:00	2318982	1748771	4067753	0.75
2023-12-27 13:00:00	2490815	1915411	4406226	0.77
2023-12-27 13:30:00	2741141	2863820	5604961	1.04
2023-12-27 14:00:00	2906582	3195784	6102366	1.1
2023-12-27 14:30:00	3096767	3378846	6475613	1.09
2023-12-27 15:00:00	3418302	3727140	7145442	1.09
2023-12-27 15:15:00	3464413	3794399	7258812	1.1
2023-12-26 09:00:00	453845	343974	797819	0.76
2023-12-26 09:30:00	739251	593987	1333238	0.8
2023-12-26 10:00:00	997944	855098	1853042	0.86
2023-12-26 10:30:00	910838	733672	1644510	0.81
2023-12-26 11:00:00	1036703	862608	1899311	0.83
2023-12-26 11:30:00	1169986	961616	2131602	0.82
2023-12-26 12:00:00	1288357	1063303	2351660	0.83
2023-12-26 12:30:00	1391425	1161264	2552689	0.83
2023-12-26 13:00:00	1507133	1246743	2753876	0.83
2023-12-26 13:30:00	1594457	1326396	2920853	0.83
2023-12-26 14:00:00	1716728	1440036	3156764	0.84
2023-12-26 14:30:00	1883816	1587569	3471385	0.84
2023-12-26 15:00:00	2142873	1832174	3975047	0.86
2023-12-26 15:15:00	2190605	1898479	4089084	0.87
2023-12-22 09:00:00	632891	484411	1117302	0.77
2023-12-22 09:30:00	1029612	768143	1797755	0.75
2023-12-22 10:00:00	1341091	1057702	2398793	0.79
2023-12-22 10:30:00	1597390	1326669	2924059	0.83
2023-12-22 11:00:00	1798339	1524086	3322425	0.85
2023-12-22 11:30:00	2021285	1677652	3698937	0.83
2023-12-22 12:00:00	2236209	1817389	4053598	0.81
2023-12-22 12:30:00	2464460	1944497	4408957	0.79
2023-12-22 13:00:00	2659317	2093729	4753046	0.79
2023-12-22 13:30:00	2968007	2498634	5466641	0.84
2023-12-22 14:00:00	3272424	2771045	6043469	0.85
2023-12-22 14:30:00	3499024	2980026	6479050	0.85
2023-12-22 15:00:00	3832006	3340365	7172371	0.87
2023-12-22 15:15:00	3889214	3427340	7316554	0.88
2023-12-21 09:00:00	544004	492637	1036641	0.91
2023-12-21 09:30:00	991748	880090	1871838	0.89
2023-12-21 10:00:00	1231318	1104340	2335658	0.9
2023-12-21 10:30:00	1419696	1292471	2712167	0.91
2023-12-21 11:00:00	1642861	1469337	3112198	0.89
2023-12-21 11:30:00	1912119	1819792	3731911	0.95
2023-12-21 12:00:00	2153839	2015101	4168940	0.94
2023-12-21 12:30:00	2351512	2219508	4571020	0.94
2023-12-21 13:00:00	2512725	2385548	4898273	0.95
2023-12-21 13:30:00	2723618	2559349	5282967	0.94
2023-12-21 14:00:00	2917344	2750535	5667879	0.94
2023-12-21 14:30:00	3147719	2985125	6132844	0.95
2023-12-21 15:00:00	3628584	3381905	7010489	0.93
2023-12-21 15:15:00	3711810	3493330	7205140	0.94
2023-12-20 09:00:00	489947	454546	944493	0.93
2023-12-20 09:30:00	900004	835241	1735245	0.93
2023-12-20 10:00:00	1383965	1175558	2559523	0.85
2023-12-20 10:30:00	2092415	1492829	3585244	0.71
2023-12-20 11:00:00	2295389	1705735	4001124	0.74
2023-12-20 11:30:00	2492978	1871479	4364457	0.75
2023-12-20 12:00:00	2681527	2055214	4736741	0.77
2023-12-20 12:30:00	2881086	2292763	5173849	0.8
2023-12-20 13:00:00	3133353	2524643	5657996	0.81
2023-12-20 13:30:00	3385695	2770325	6156020	0.82
2023-12-20 14:00:00	4007628	3418705	7426333	0.85
2023-12-20 14:30:00	4546684	4014252	8560936	0.88
2023-12-20 15:00:00	3906715	3173137	7079852	0.81
2023-12-20 15:15:00	4035081	3364473	7399554	0.83
2023-12-19 09:00:00	547279	522421	1069700	0.95
2023-12-19 09:30:00	948011	826010	1774021	0.87
2023-12-19 10:00:00	1270756	1112014	2382770	0.88
2023-12-19 10:30:00	1599798	1391290	2991088	0.87
2023-12-19 11:00:00	1882704	1667288	3549992	0.89
2023-12-19 11:30:00	2097513	1878933	3976446	0.9
2023-12-19 12:00:00	2254710	2011813	4266523	0.89
2023-12-19 12:30:00	2433137	2302327	4735464	0.95
2023-12-19 13:00:00	2636122	2474932	5111054	0.94
2023-12-19 13:30:00	2820923	2615852	5436775	0.93
2023-12-19 14:00:00	3049952	2762123	5812075	0.91
2023-12-19 14:30:00	3306535	2996011	6302546	0.91
2023-12-19 15:00:00	3694849	3311304	7006153	0.9
2023-12-19 15:15:00	3864239	3410027	7274266	0.88
2023-12-18 09:00:00	504989	442145	947134	0.88
2023-12-18 09:30:00	897907	759226	1657133	0.85
2023-12-18 10:00:00	1214054	1042992	2257046	0.86
2023-12-18 10:30:00	1476299	1323850	2800149	0.9
2023-12-18 11:00:00	1711456	1565339	3276795	0.91
2023-12-18 11:30:00	1914315	1778143	3692458	0.93
2023-12-18 12:00:00	2140267	1978593	4118860	0.92
2023-12-18 12:30:00	1760203	1561426	3321629	0.89
2023-12-18 13:00:00	1891324	1672055	3563379	0.88
2023-12-18 13:30:00	2094096	1909860	4003956	0.91
